Peak	FN_45	LN_45	N0_45	FN_60	LN_60	N0_60	FN_75	LN_75	N0_75
Analyte 728	3.77E-05	6.74E-05	4.73E-05	4.39E-05	3.85E-05	9.31E-05	5.01E-05	3.79E-05	6.62E-05
pantothenic acid	0.00013241	7.26E-05	0.000204089	0.000149304	0.000149025	0.000132666	0.000105623	8.50E-05	0.000216319
Galactonic acid	0.00203368	0.001204206	0.001723866	0.002231321	0.001848224	0.001054125	0.002465514	0.001036426	0.001558369
Saccharic acid	0.000508054	0.000592394	0.001102898	0.000825353	0.000939887	0.000823927	0.000722504	0.000500067	0.001064899
xanthine	1.51E-05	3.46E-05	2.14E-05	1.83E-06	2.41E-05	3.58E-05	4.14E-11	9.61E-06	2.30E-05
Glucosaminic acid	0.000336812	9.94E-05	4.74E-05	0.000477354	8.07E-05	2.44E-05	5.83E-05	0.000153477	0.000103044
L-dopa 1	7.75E-05	6.14E-11	9.88E-05	0.000121522	4.24E-05	4.74E-05	4.14E-11	9.68E-05	0.000145311
cis-sinapinic acid	8.45E-05	0.000132304	0.000110338	3.63E-11	0.000140878	0.000141276	4.14E-11	7.58E-05	0.00010925
Analyte 768	1.49E-05	4.49E-06	5.49E-06	1.91E-05	1.21E-05	1.39E-06	1.95E-05	1.35E-05	1.45E-05
N-Acetyl-beta-D-mannosamine 1	1.82E-05	3.49E-05	3.86E-05	5.06E-06	4.11E-05	4.24E-05	2.75E-06	1.40E-05	3.14E-05
guanine 1	3.05E-05	2.64E-05	2.19E-05	4.83E-05	2.62E-05	2.75E-05	4.20E-05	3.49E-05	1.73E-05
